관리자,우선순위,질문구분,질문내용
TRUE,2,23,DB 캐싱 전략에 대해 말해보세요
TRUE,3,23,DB와 DBMS 그리고 SQL의 개념과 차이에 대해 설명하세요.
TRUE,2,23,트랜잭션(Transaction)에 대해 아는대로 설명하세요.
TRUE,3,24,TCP와 UCP의 특징과 차이점에 대해 설명하세요.
TRUE,2,24,3-way Handshake와 4-way Handshake에 대해 설명하세요.
TRUE,3,24,HTTP 메서드의 종류와 특징에 대해 설명하세요.
TRUE,2,24,동기와 비동기 통신 방식 차이를 설명하세요
TRUE,2,24,웹 동작 방식에 대해 전반적으로 간략하게 설명하세요(Server Client 방식)
TRUE,3,24,HTTP와 HTTPS의 개념과 차이점에 대해 설명하세요
TRUE,2,24,HTTP 상태 코드에 대해 아는 것을 말해보세요.(2가지 이상)
TRUE,2,24,CORS가 무엇인지 설명하고 CORS 에러시 해결방안에 대해 설명하세요.
TRUE,3,25,퀵 정렬과 병합 정렬의 차이에 대해 설명하세요.
TRUE,2,25,정렬 알고리즘 중 가장 빠른 방식은 무엇이며 그에 대해 설명하세요.
TRUE,3,25,Stack과 Heap의 차이점에 대해 설명하세요.
TRUE,3,25,DFS와 BFS에 대해 설명하세요.
TRUE,2,25,파라메트릭 서치에 대해 설명하세요
TRUE,2,25,최소 스패닝 트리(MST)에 대해 설명하고 구현할 수 있는 알고리즘들을 설명하시오
TRUE,3,25,LinkedList와 ArrayList의 차이에 대해 비교설명하세요
TRUE,2,26,let과 const의 차이점에 대해 설명하세요.
TRUE,2,26,얕은 복사와 깊은 복사의 차이점에 대해 설명하세요.
TRUE,2,26,자바스크립트에서 일반함수와 화살표함수의 차이점에 대해 설명하세요.
TRUE,2,26,Annotation의 뜻을 설명하세요.
TRUE,2,26,maven과 gradle의 차이점에 대해 설명하세요.
TRUE,3,26,객체지향의 특징과 각 특징에 대해 예시를 들어보세요
TRUE,2,26,자바의 GC(Garbage Colleciton)에 대해 아는대로 설명하세요.
TRUE,3,26,Overriding과 Overloading의 개념과 차이에 대해 설명하세요.
TRUE,2,26,추상화에 대해 설명해주세요.
TRUE,2,29,TDD(Test-Driven Development)와 DDD(Domain-Driven Design)에 대해 설명하세요
TRUE,2,29,MSA(Microservice Architecture)에 대해 설명하세요
TRUE,3,29,MVC 패턴이란 무엇인가요?
TRUE,3,30,가장 기억에 남는 프로젝트는 무엇인가요?
TRUE,3,30,갈등 상황이 있었나요? 어떻게 해결했나요?
TRUE,3,30,해당 기술 스택을 사용한 이유를 설명하세요.
TRUE,2,30,프로젝트에 있어서 가장 중요한 것은 무엇이라 생각하나요?
TRUE,2,30,이미 진행했던 코드를 개선한 경험이 있다면 소개해주세요.
TRUE,1,30,따로 진행하는 프로젝트가 있나요? 있다면 소개해주세요.
TRUE,2,30,진행했었던 프로젝트에서 어떤 언어와 프레임워크를 사용했나요?
TRUE,2,30,프로젝트를 진행하면서 아쉬웠던 부분은 무엇이었나요?
TRUE,2,30,프로젝트의 핵심 기술은 무엇인가요?
TRUE,2,30,프로젝트에서 어떤 역할을 담당했나요?
TRUE,1,30,프로젝트를 판매한다면 희망하는 가격은 얼마인가요?
TRUE,2,30,팀원과의 의사소통은 어떤 방식으로 이루어졌나요?
TRUE,2,30,협업에서 가장 중요한 것은?
TRUE,2,30,선호하는 개발 방법론과 이유를 경험한 프로젝트에 근거하여 얘기하세요.
TRUE,3,30,팀프로젝트 중 문제가 생겼을 때 본인이 한 역할과 해결방안을 얘기하세요.
TRUE,3,30,협업툴(Git과 Jira 등)을 사용한 경험과 자신의 활용법을 얘기하세요.
TRUE,3,30,개발툴은 어떤걸 사용해봤나요? 선호하는 개발툴이 있다면 이유는 무엇인가요?
